species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Myzomela_obscura,Other Passeriformes,-0.719,2.632,0.487239252,13.90154521
Myzomela_sanguinolenta,Other Passeriformes,-1.064,2.098,0.345072755,8.149853894
Nectarinia_calcostetha,Other Passeriformes,-0.874,2.153,0.41727909,8.610651643
Nectarinia_jugularis,Other Passeriformes,-1.109,2.197,0.329888685,8.997979031
Nectarinia_olivacea,Other Passeriformes,-0.598,2.272,0.549910358,9.698778987
Nectarinia_violacea,Other Passeriformes,-0.843,2.19,0.430417333,8.935213115
Neochmia_phaeton,Other Passeriformes,-0.659,1.974,0.517368444,7.199416636
Neochmia_temporalis,Other Passeriformes,-0.656,2.233,0.51892288,9.327807569
Nesospingus_speculiferus,Other Passeriformes,0.354,3.59,1.424755186,36.23407593
Oenanthe_oenanthe,Other Passeriformes,-0.255,2.955,0.774916498,19.20172272
Onychorhynchus_coronatus,Other Passeriformes,-0.693,2.58,0.500073596,13.19713816
Oreocharis_arfaki,Other Passeriformes,-0.371,2.97,0.690043942,19.4919196
Oreoica_gutturalis,Other Passeriformes,0.545,4.043,1.724608382,56.99707781
Origma_solitaria,Other Passeriformes,-0.163,2.565,0.849591188,13.00065837
Oriolus_flavocinctus,Other Passeriformes,0.742,4.489,2.10013158,89.03236898
Oriolus_sagittatus,Other Passeriformes,0.674,4.579,1.962069925,97.41692855
Orthonyx_temminckii,Other Passeriformes,0.567,4.071,1.7629702,58.61554884
Oryzoborus_angolensis,Other Passeriformes,-0.375,2.472,0.687289279,11.84611541
Pachycephala_olivacea,Other Passeriformes,0.389,3.79,1.475504551,44.25640028
Pachycephala_pectoralis,Other Passeriformes,0.14,3.258,1.150273799,25.99749013
Pachycephala_rufiventris,Other Passeriformes,0.063,3.065,1.065026839,21.43446199
Pachycephala_rufogularis,Other Passeriformes,0.086,3.585,1.089806328,36.05335772
Pachycephala_simplex,Other Passeriformes,-0.186,2.944,0.830273595,18.99166123
Pachycephalopsis_poliosoma,Other Passeriformes,0.028,3.646,1.028395684,38.32107477
Pachyramphus_niger,Other Passeriformes,0.262,3.661,1.299526542,38.90022365
Pachyramphus_polychopterus,Other Passeriformes,-0.271,3.008,0.762616496,20.24686567
Padda_oryzivora,Other Passeriformes,-0.236,3.068,0.789780674,21.49886192
Pardalotus_punctatus,Other Passeriformes,-1.036,2.219,0.354871332,9.198128137
Pardalotus_striatus,Other Passeriformes,-0.63,2.38,0.532591801,10.80490286
Parula_americana,Other Passeriformes,-0.955,1.967,0.384812145,7.149196695
Parus_atricapillus,Other Passeriformes,-0.255,2.434,0.774916498,11.4044086
Parus_gambeli,Other Passeriformes,-0.318,2.436,0.727602788,11.42724024
Parus_hudsonicus,Other Passeriformes,-0.342,2.399,0.710348205,11.01215871
Passer_domesticus,Other Passeriformes,-0.012,3.258,0.988071713,25.99749013
Passer_hispaniolensis,Other Passeriformes,-0.037,3.208,0.963676135,24.72957758
Passerina_cyanea,Other Passeriformes,-0.423,2.574,0.655078633,13.1181924
Peneothello_cyanus,Other Passeriformes,-0.046,3.298,0.955041962,27.05846783
Pericrocotus_ethologus,Other Passeriformes,-0.151,2.773,0.859847699,16.0065818
Perisoreus_canadensis,Corvidae,0.942,4.234,2.565106505,68.99265157
Perissocephalus_tricolor,Other Passeriformes,1.526,5.639,4.599741011,281.1813964
Petrochelidon_fulva,Other Passeriformes,-0.687,2.74,0.503083057,15.4869851
Petroica_goodenovii,Other Passeriformes,-1.015,2.563,0.36240243,12.97468304
Petroica_multicolor,Other Passeriformes,-0.799,2.625,0.449778518,13.80457419
Petroica_phoenicea,Other Passeriformes,-0.722,2.644,0.485779724,14.06936868
Petroica_rodinogaster,Other Passeriformes,-0.713,2.267,0.490171475,9.650406125
Petroica_rosea,Other Passeriformes,-0.693,2.37,0.500073596,10.69739228
Phacellodomus_ruber,Other Passeriformes,0.104,3.67,1.109600455,39.25190586
Phaenicophilus_palmarum,Other Passeriformes,0.112,3.373,1.118512861,29.16589362
Phainopepla_nitens,Other Passeriformes,-0.225,3.299,0.798516219,27.08553983
Pheucticus_ludovicianus,Other Passeriformes,0.223,3.87,1.249820574,47.94238608
Philemon_argenticeps,Other Passeriformes,0.531,4.605,1.700632091,99.98298285
Philemon_buceroides,Other Passeriformes,0.765,4.62,2.148994375,101.4940321
Philemon_citreogularis,Other Passeriformes,0.454,4.13,1.574597997,62.17792293
Philemon_corniculatus,Other Passeriformes,0.681,4.799,1.975852597,121.3889678
Philemon_diemenensis,Other Passeriformes,0.435,4.204,1.544963059,66.95361057
